Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,9.990000,9.990000,9.350000,9.360000,8.683293,49559500
2015-01-05,9.140000,9.190000,8.530000,8.560000,7.941135,78385100
2015-01-06,8.710000,8.830000,8.040000,8.280000,7.681378,84723300
2015-01-07,8.560000,8.730000,8.360000,8.670000,8.043181,85531000
2015-01-08,8.790000,9.390000,8.740000,9.230000,8.562695,83306300
2015-01-09,9.200000,9.510000,8.930000,9.510000,8.822452,50813100
2015-01-12,9.270000,9.580000,8.790000,8.840000,8.200891,58728900
2015-01-13,8.900000,9.390000,8.850000,9.090000,8.432817,65834800
2015-01-14,8.880000,8.960000,8.640000,8.910000,8.265831,55736500
2015-01-15,9.000000,9.390000,8.870000,9.310000,8.636912,80907800
2015-01-16,9.460000,9.630000,9.240000,9.440000,8.757512,56978300
2015-01-19,9.350000,9.540000,9.150000,9.170000,8.507032,30873100
2015-01-20,9.600000,9.850000,9.150000,9.310000,8.636912,72842900
2015-01-21,9.450000,9.920000,9.320000,9.900000,9.184256,48003500
2015-01-22,10.100000,10.460000,9.970000,10.230000,9.490397,74782400
2015-01-23,10.110000,10.410000,9.880000,9.980000,9.258473,43659400
2015-01-26,9.790000,9.970000,9.660000,9.830000,9.119317,33202100
2015-01-27,9.720000,10.370000,9.530000,10.140000,9.406906,58750400
2015-01-28,9.430000,9.540000,8.950000,9.110000,8.451370,106337900
2015-01-29,9.050000,9.080000,8.340000,8.670000,8.043181,111506300
2015-01-30,8.200000,8.340000,8.080000,8.300000,7.699931,87497200
2015-02-02,8.460000,8.790000,8.130000,8.790000,8.154508,57585100
2015-02-03,9.010000,10.000000,9.010000,9.970000,9.249195,98061700
2015-02-04,10.300000,10.780000,9.560000,10.020000,9.295580,117595000
2015-02-05,9.860000,10.290000,9.700000,9.830000,9.119317,78992700
2015-02-06,9.800000,9.810000,8.870000,9.120000,8.460648,117747100
2015-02-09,8.800000,9.470000,8.720000,9.400000,8.720406,72534200
2015-02-10,9.220000,9.800000,8.890000,8.910000,8.265831,75478700
2015-02-11,8.940000,9.190000,8.810000,9.080000,8.423540,48681100
2015-02-12,9.350000,9.540000,9.270000,9.450000,8.766788,61706000
2015-02-13,9.680000,10.100000,9.660000,10.030000,9.304857,72282500
2015-02-18,10.160000,10.340000,10.010000,10.040000,9.314136,42896700
2015-02-19,9.960000,9.970000,9.650000,9.710000,9.007993,38492400
2015-02-20,9.820000,9.900000,9.530000,9.640000,8.943055,35272700
2015-02-23,9.550000,9.590000,9.390000,9.500000,8.813175,41168500
2015-02-24,9.650000,9.900000,9.590000,9.900000,9.184256,48578000
2015-02-25,9.100000,9.400000,9.000000,9.400000,8.720406,96303900
2015-02-26,9.400000,9.520000,9.160000,9.230000,8.562695,44179900
2015-02-27,9.300000,9.640000,9.100000,9.550000,8.859562,46969600
2015-03-02,9.440000,9.710000,9.270000,9.420000,8.738958,38009000
2015-03-03,9.690000,9.800000,9.520000,9.570000,8.878114,42133600
2015-03-04,9.410000,9.450000,9.210000,9.270000,8.599804,48308500
2015-03-05,9.310000,9.380000,9.160000,9.240000,8.571973,52913800
2015-03-06,9.200000,9.350000,9.170000,9.250000,8.581248,27181900
2015-03-09,9.130000,9.180000,8.900000,8.920000,8.275108,37625700
2015-03-10,8.830000,8.980000,8.510000,8.520000,7.904027,72090500
2015-03-11,8.670000,8.830000,8.580000,8.740000,8.108122,44035300
2015-03-12,8.970000,9.080000,8.440000,8.470000,7.857642,63029900
2015-03-13,8.250000,8.390000,8.160000,8.340000,7.737041,72933500
2015-03-16,8.490000,8.500000,8.190000,8.390000,7.783426,53380500
2015-03-17,8.350000,8.930000,8.320000,8.860000,8.219445,63896300
2015-03-18,8.850000,9.290000,8.670000,9.200000,8.534864,65324600
2015-03-19,9.180000,9.230000,8.850000,8.920000,8.275108,42857200
2015-03-20,9.080000,9.350000,8.960000,9.220000,8.553418,65339300
2015-03-23,9.300000,9.440000,9.200000,9.330000,8.655465,34124600
2015-03-24,9.370000,9.450000,9.220000,9.420000,8.738958,36392400
2015-03-25,9.650000,9.890000,9.530000,9.800000,9.091485,84659600
2015-03-26,9.920000,9.960000,9.310000,9.330000,8.655465,58862000
2015-03-27,9.300000,9.610000,9.170000,9.360000,8.683293,51152500
2015-03-30,9.500000,9.750000,9.420000,9.710000,9.007993,33372200
2015-03-31,9.580000,9.920000,9.470000,9.660000,8.961606,46908300
2015-04-01,9.930000,10.370000,9.870000,10.260000,9.518228,59374600
2015-04-02,10.170000,10.720000,10.170000,10.690000,9.917139,69001800
2015-04-06,10.800000,10.990000,10.680000,10.710000,9.935697,45227600
2015-04-07,10.600000,10.960000,10.460000,10.920000,10.130511,61721500
2015-04-08,11.100000,11.330000,10.490000,10.570000,9.805819,73904600
2015-04-09,10.700000,11.600000,10.580000,11.580000,10.742796,79280800
2015-04-10,11.520000,11.930000,11.270000,11.810000,10.956168,70021600
2015-04-13,11.970000,12.750000,11.900000,12.270000,11.382912,104809600
2015-04-14,12.670000,12.740000,11.970000,12.460000,11.559175,87127100
2015-04-15,12.700000,13.380000,12.470000,13.340000,12.375552,103042800
2015-04-16,13.250000,13.330000,12.520000,12.980000,12.041578,109852700
2015-04-17,12.610000,13.240000,12.520000,12.950000,12.013749,71274400
2015-04-20,13.230000,13.380000,13.020000,13.070000,12.125072,52514600
2015-04-22,13.190000,13.290000,12.660000,13.000000,12.060134,65914800
2015-04-23,12.300000,13.260000,11.890000,12.870000,11.939533,182613700
2015-04-24,13.190000,13.780000,13.160000,13.220000,12.264230,106143700
2015-04-27,12.950000,13.120000,12.510000,12.520000,11.614838,53111300
2015-04-28,12.760000,12.870000,12.250000,12.770000,11.846762,60884300
2015-04-29,12.580000,12.930000,12.530000,12.820000,11.893147,35821900
2015-04-30,12.830000,13.150000,12.800000,13.060000,12.115796,48515300
2015-05-04,13.310000,13.850000,13.300000,13.790000,12.793020,55651100
2015-05-05,13.700000,14.610000,13.670000,14.430000,13.386750,76329800
2015-05-06,14.750000,14.950000,13.570000,13.790000,12.793020,72197500
2015-05-07,13.800000,14.050000,13.330000,13.660000,12.672419,44978900
2015-05-08,14.040000,14.090000,13.360000,13.510000,12.533264,43687900
2015-05-11,13.680000,13.830000,13.430000,13.770000,12.774465,28040500
2015-05-12,13.700000,14.060000,13.630000,13.730000,12.737357,30765100
2015-05-13,13.870000,14.130000,13.750000,13.980000,12.969282,45346800
2015-05-14,14.100000,14.230000,13.760000,13.900000,12.895067,49457700
2015-05-15,13.920000,14.120000,13.610000,14.040000,13.024946,54224100
2015-05-18,14.640000,14.650000,13.520000,13.700000,12.709525,82200400
2015-05-19,13.550000,13.590000,12.790000,12.890000,11.958088,70521100
2015-05-20,12.760000,13.120000,12.630000,12.840000,11.911702,43164900
