 Ano; Código da IES*;Nome da IES*; Sigla da IES*; Organização Acadêmica*; Categoria Administrativa; Sigla da UF; Nº de Cursos com CPC no triênio; Alfa (Proporção de Graduação); Conceito Médio de Graduação; Beta (Proporção de Mestrado - Equivalente); Conceito Médio de Mestrado; Gama (Proporção de Doutorandos – Equivalente); Conceito Médio do doutorado; IGC (Contínuo); IGC (Faixa);TX_OBS
2021;1;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;Universidade;Pública Federal;MT;80;0,780;3,019;0,134;4,272;0,084;4,668;3,328;4;
2021;2;UNIVERSIDADE DE BRASÍLIA;UNB;Universidade;Pública Federal;DF;78;0,523;3,357;0,230;4,582;0,246;4,770;3,988;5;
2021;3;UNIVERSIDADE FEDERAL DE SERGIPE;UFS;Universidade;Pública Federal;SE;84;0,780;3,213;0,126;4,262;0,093;4,648;3,480;4;
2021;4;UNIVERSIDADE FEDERAL DO AMAZONAS;UFAM;Universidade;Pública Federal;AM;70;0,838;2,878;0,107;4,246;0,054;4,474;3,111;4;
2021;5;UNIVERSIDADE FEDERAL DO PIAUÍ;UFPI;Universidade;Pública Federal;PI;76;0,806;2,866;0,120;4,317;0,072;4,640;3,170;4;
2021;6;UNIVERSIDADE FEDERAL DE OURO PRETO;UFOP;Universidade;Pública Federal;MG;38;0,736;3,316;0,171;4,339;0,091;4,653;3,614;4;
2021;7;UNIVERSIDADE FEDERAL DE SÃO CARLOS;UFSCAR;Universidade;Pública Federal;SP;54;0,475;3,430;0,215;4,533;0,308;4,768;4,081;5;
2021;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;Universidade;Pública Federal;MG;59;0,526;3,508;0,208;4,669;0,264;4,892;4,116;5;
2021;9;UNIVERSIDADE ESTADUAL DE LONDRINA;UEL;Universidade;Pública Estadual;PR;44;0,616;3,249;0,194;4,523;0,188;4,704;3,772;4;
2021;10;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ;PUCPR;Universidade;Privada sem fins lucrativos;PR;71;0,804;3,311;0,092;4,737;0,102;4,874;3,604;4;
